Mercedes Benz EQC  2020 400 4MATIC for Sale, , https://www.pakwheels.com/used-cars/mercedes-benz-eqc-2020-for-sale-in-karachi-9696211, Karachi, 2020, 12,000 km, Electric, 80.0 kWh, 
Mercedes Benz C Class  2021 C200 for Sale, 2.85 crore, https://www.pakwheels.com/used-cars/mercedes-benz-c-class-2021-for-sale-in-karachi-9606457, Karachi, 2021, 11,406 km, Petrol, 2000 cc, 
Mercedes Benz C Class  2022 C200 for Sale, 3.15 crore, https://www.pakwheels.com/used-cars/mercedes-benz-c-class-2022-for-sale-in-lahore-9546001, Lahore, 2022, 12,000 km, Petrol, 1500 cc, 
Mercedes Benz E Class 4th (W212) Generation 2012 E200 for Sale, 1.1 crore, https://www.pakwheels.com/used-cars/mercedes-benz-e-class-2012-for-sale-in-karachi-9527872, Karachi, 2012, 71,282 km, Petrol, 2100 cc, 
Mercedes Benz E Class 4th (W212) Generation 2011 E200 for Sale, 1.1 crore, https://www.pakwheels.com/used-cars/mercedes-benz-e-class-2011-for-sale-in-karachi-9694869, Karachi, 2011, 85,000 km, Petrol, 1800 cc, 
Mercedes Benz CLS Class  2006 CLS350 for Sale, 98 lacs, https://www.pakwheels.com/used-cars/mercedes-benz-cls-class-2006-for-sale-in-islamabad-9696997, Islamabad, 2006, 68,000 km, Petrol, 3500 cc, 
Mercedes Benz E Class  1992  for Sale, 21 lacs, https://www.pakwheels.com/used-cars/mercedes-benz-e-class-1992-for-sale-in-islamabad-9696780, Islamabad, 1992, 237,000 km, Petrol, 2500 cc, 
Mercedes Benz C Class  2004 C180 for Sale, 32 lacs, https://www.pakwheels.com/used-cars/mercedes-benz-c-class-2004-for-sale-in-quetta-9696595, Quetta, 2004, 74,000 km, Petrol, 2000 cc, 
Mercedes Benz C Class  2002 C180 for Sale, 22.5 lacs, https://www.pakwheels.com/used-cars/mercedes-benz-c-class-2002-for-sale-in-rawalpindi-9695706, Rawalpindi, 2002, 114,000 km, Petrol, 2000 cc, 
Mercedes Benz C Class  2007 C180 for Sale, 51.5 lacs, https://www.pakwheels.com/used-cars/mercedes-benz-c-class-2007-for-sale-in-islamabad-9694600, Islamabad, 2007, 99,500 km, Petrol, 2000 cc, 
Mercedes Benz S Class  2014 S400 Hybrid for Sale, 2.85 crore, https://www.pakwheels.com/used-cars/mercedes-benz-s-class-2014-for-sale-in-karachi-9687670, Karachi, 2014, 55,000 km, Hybrid, 3500 cc, 
Mercedes Benz E Class 4th (W212) Generation 2011  for Sale, 1.1 crore, https://www.pakwheels.com/used-cars/mercedes-benz-e-class-2011-for-sale-in-karachi-9690541, Karachi, 2011, 55,538 km, Petrol, 1800 cc, 
Mercedes Benz S Class  2014 S400 Hybrid for Sale, , https://www.pakwheels.com/used-cars/mercedes-benz-s-class-2014-for-sale-in-lahore-9642764, Lahore, 2014, 28,000 km, Hybrid, 3500 cc, 
Mercedes Benz E Class  1996  for Sale, 13 lacs, https://www.pakwheels.com/used-cars/mercedes-benz-e-class-1996-for-sale-in-lahore-9693960, Lahore, 1996, 630,000 km, Petrol, 2300 cc, 
Mercedes Benz EQS  2022 450 4MATIC for Sale, 4.95 crore, https://www.pakwheels.com/used-cars/mercedes-benz-eqs-2022-for-sale-in-lahore-9604437, Lahore, 2022, 1,000 km, Electric, 107.0 kWh, 
Mercedes Benz S Class  2002  for Sale, 42 lacs, https://www.pakwheels.com/used-cars/mercedes-benz-s-class-2002-for-sale-in-islamabad-9693747, Islamabad, 2002, 172,000 km, Diesel, 3200 cc, 
Mercedes Benz C Class  2012 C63 AMG for Sale, 1.5 crore, https://www.pakwheels.com/used-cars/mercedes-benz-c-class-2012-for-sale-in-islamabad-9693580, Islamabad, 2012, 89,000 km, Petrol, 6200 cc, 
Mercedes Benz C Class  2007 C200 for Sale, 53 lacs, https://www.pakwheels.com/used-cars/mercedes-benz-c-class-2007-for-sale-in-lahore-9640715, Lahore, 2007, 200,000 km, Petrol, 1800 cc, 
Mercedes Benz C Class  2011 C200 for Sale, 72 lacs, https://www.pakwheels.com/used-cars/mercedes-benz-c-class-2011-for-sale-in-islamabad-9439415, Islamabad, 2011, 103,000 km, Petrol, 1800 cc, 
Mercedes Benz E Class 3rd (W211) Generation 2006 E280 for Sale, 55.5 lacs, https://www.pakwheels.com/used-cars/mercedes-benz-e-class-2006-for-sale-in-rawalpindi-9693633, Rawalpindi, 2006, 142,000 km, Petrol, 3000 cc, 
Mercedes Benz C Class  1998 C180 for Sale, 18.9 lacs, https://www.pakwheels.com/used-cars/mercedes-benz-c-class-1998-for-sale-in-rawalpindi-9659864, Rawalpindi, 1998, 136,000 km, Petrol, 1800 cc, 
Mercedes Benz C Class  2012 C180 for Sale, 74 lacs, https://www.pakwheels.com/used-cars/mercedes-benz-c-class-2012-for-sale-in-karachi-9693104, Karachi, 2012, 65,000 km, Petrol, 1800 cc, 
Mercedes Benz C Class  2007 C180 for Sale, 51.5 lacs, https://www.pakwheels.com/used-cars/mercedes-benz-c-class-2007-for-sale-in-islamabad-9694600, Islamabad, 2007, 99,500 km, Petrol, 2000 cc, 
Mercedes Benz E Class 4th (W212) Generation 2011  for Sale, 1.1 crore, https://www.pakwheels.com/used-cars/mercedes-benz-e-class-2011-for-sale-in-karachi-9690541, Karachi, 2011, 55,538 km, Petrol, 1800 cc, 
Mercedes Benz S Class  2014 S400 Hybrid for Sale, , https://www.pakwheels.com/used-cars/mercedes-benz-s-class-2014-for-sale-in-lahore-9642764, Lahore, 2014, 28,000 km, Hybrid, 3500 cc, 
Mercedes Benz EQS  2022 450 4MATIC for Sale, 4.95 crore, https://www.pakwheels.com/used-cars/mercedes-benz-eqs-2022-for-sale-in-lahore-9604437, Lahore, 2022, 1,000 km, Electric, 107.0 kWh, 
Mercedes Benz C Class  2012 C63 AMG for Sale, 1.5 crore, https://www.pakwheels.com/used-cars/mercedes-benz-c-class-2012-for-sale-in-islamabad-9693580, Islamabad, 2012, 89,000 km, Petrol, 6200 cc, 
Mercedes Benz C Class  1998 C180 for Sale, 18.9 lacs, https://www.pakwheels.com/used-cars/mercedes-benz-c-class-1998-for-sale-in-rawalpindi-9659864, Rawalpindi, 1998, 136,000 km, Petrol, 1800 cc, 
Mercedes Benz S Class  2003  for Sale, 80 lacs, https://www.pakwheels.com/used-cars/mercedes-benz-s-class-2003-for-sale-in-lahore-4427873, Lahore, 2003, 75,000 km, Petrol, 3500 cc, 
Mercedes Benz C Class  2021 C 180 Cabriolet for Sale, 2.79 crore, https://www.pakwheels.com/used-cars/mercedes-benz-c-class-2021-for-sale-in-islamabad-9692481, Islamabad, 2021, 12,000 km, Petrol, 1600 cc, 
Mercedes Benz E Class 3rd (W211) Generation 2007 E200 for Sale, 45 lacs, https://www.pakwheels.com/used-cars/mercedes-benz-e-class-2007-for-sale-in-faisalabad-9493547, Faisalabad, 2007, 112,168 km, Petrol, 1800 cc, 
Mercedes Benz E Class 3rd (W211) Generation 2004 E200 for Sale, 47.5 lacs, https://www.pakwheels.com/used-cars/mercedes-benz-e-class-2004-for-sale-in-karachi-9512128, Karachi, 2004, 134,864 km, Petrol, 1800 cc, 
Mercedes Benz E Class  2022  for Sale, 3.99 crore, https://www.pakwheels.com/used-cars/mercedes-benz-e-class-2022-for-sale-in-lahore-9572624, Lahore, 2022, 9,000 km, Petrol, 1500 cc, 
Mercedes Benz E Class  2021 E 180 Exclusive for Sale, 3.45 crore, https://www.pakwheels.com/used-cars/mercedes-benz-e-class-2021-for-sale-in-lahore-9688062, Lahore, 2021, 25,000 km, Petrol, 1500 cc, 
Mercedes Benz E Class  2013 E63 AMG for Sale, 62 lacs, https://www.pakwheels.com/used-cars/mercedes-benz-e-class-2013-for-sale-in-quetta-9693056, Quetta, 2013, 98,000 km, Petrol, 5500 cc, 
Mercedes Benz C Class  2006 C180 for Sale, 36 lacs, https://www.pakwheels.com/used-cars/mercedes-benz-c-class-2006-for-sale-in-gujranwala-9692677, Gujranwala, 2006, 224,000 km, Petrol, 2000 cc, 
Mercedes Benz C Class  2006 C180 for Sale, 29.5 lacs, https://www.pakwheels.com/used-cars/mercedes-benz-c-class-2006-for-sale-in-rawalpindi-9692396, Rawalpindi, 2006, 150,000 km, Petrol, 2000 cc, 
Mercedes Benz A Class  2020 A200  for Sale, 1.5 crore, https://www.pakwheels.com/used-cars/mercedes-benz-a-class-2020-for-sale-in-lahore-9692189, Lahore, 2020, 75,000 km, Petrol, 1300 cc, 
Mercedes Benz E Class  2007 E220 CDI for Sale, 41.5 lacs, https://www.pakwheels.com/used-cars/mercedes-benz-e-class-2007-for-sale-in-islamabad-9426251, Islamabad, 2007, 106,000 km, Diesel, 2100 cc, 
Mercedes Benz E Class  1997 E320 for Sale, 24 lacs, https://www.pakwheels.com/used-cars/mercedes-benz-e-class-1997-for-sale-in-rawalpindi-9691749, Rawalpindi, 1997, 150,000 km, Petrol, 3200 cc, 
Mercedes Benz E Class 3rd (W211) Generation 2003 E220 CDI for Sale, 40 lacs, https://www.pakwheels.com/used-cars/mercedes-benz-e-class-2003-for-sale-in-multan-9691580, Multan, 2003, 100,000 km, Diesel, 2100 cc, 
